"","Car","MPG","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model","Origin"
"2","Chevrolet Chevelle Malibu",18,"8",307,130,3504,12,"70","US"
"3","Buick Skylark 320",15,"8",350,165,3693,11.5,"70","US"
"4","Plymouth Satellite",18,"8",318,150,3436,11,"70","US"
"5","AMC Rebel SST",16,"8",304,150,3433,12,"70","US"
"6","Ford Torino",17,"8",302,140,3449,10.5,"70","US"
"7","Ford Galaxie 500",15,"8",429,198,4341,10,"70","US"
"8","Chevrolet Impala",14,"8",454,220,4354,9,"70","US"
"9","Plymouth Fury iii",14,"8",440,215,4312,8.5,"70","US"
"10","Pontiac Catalina",14,"8",455,225,4425,10,"70","US"
"11","AMC Ambassador DPL",15,"8",390,190,3850,8.5,"70","US"
"12","Citroen DS-21 Pallas",0,"4",133,115,3090,17.5,"70","Europe"
"13","Chevrolet Chevelle Concours (sw)",0,"8",350,165,4142,11.5,"70","US"
"14","Ford Torino (sw)",0,"8",351,153,4034,11,"70","US"
"15","Plymouth Satellite (sw)",0,"8",383,175,4166,10.5,"70","US"
"16","AMC Rebel SST (sw)",0,"8",360,175,3850,11,"70","US"
"17","Dodge Challenger SE",15,"8",383,170,3563,10,"70","US"
"18","Plymouth 'Cuda 340",14,"8",340,160,3609,8,"70","US"
"19","Ford Mustang Boss 302",0,"8",302,140,3353,8,"70","US"
"20","Chevrolet Monte Carlo",15,"8",400,150,3761,9.5,"70","US"
"21","Buick Estate Wagon (sw)",14,"8",455,225,3086,10,"70","US"
"31","BMW 2002",26,"4",121,113,2234,12.5,"70","Europe"
"33","Ford F250",10,"8",360,215,4615,14,"70","US"
"34","Chevy C20",10,"8",307,200,4376,15,"70","US"
"35","Dodge D200",11,"8",318,210,4382,13.5,"70","US"
"36","Hi 1200D",9,"8",304,193,4732,18.5,"70","US"
"43","Plymouth Satellite Custom",16,"6",225,105,3439,15.5,"71","US"
"47","Chevrolet Impala",14,"8",350,165,4209,12,"71","US"
"48","Pontiac Catalina Brougham",14,"8",400,175,4464,11.5,"71","US"
"49","Ford Galaxie 500",14,"8",351,153,4154,13.5,"71","US"
"50","Plymouth Fury iii",14,"8",318,150,4096,13,"71","US"
"51","Dodge Monaco (sw)",12,"8",383,180,4955,11.5,"71","US"
"52","Ford Country Squire (sw)",13,"8",400,170,4746,12,"71","US"
"53","Pontiac Safari (sw)",13,"8",400,175,5140,12,"71","US"
"54","AMC Hornet Sportabout (sw)",18,"6",258,110,2962,13.5,"71","US"
"71","Chevrolet Impala",13,"8",350,165,4274,12,"72","US"
"72","Pontiac Catalina",14,"8",400,175,4385,12,"72","US"
"73","Plymouth Fury III",15,"8",318,150,4135,13.5,"72","US"
"74","Ford Galaxie 500",14,"8",351,153,4129,13,"72","US"
"75","AMC Ambassador SST",17,"8",304,150,3672,11.5,"72","US"
"76","Mercury Marquis",11,"8",429,208,4633,11,"72","US"
"77","Buick LeSabre Custom",13,"8",350,155,4502,13.5,"72","US"
"78","Oldsmobile Delta 88 Royale",12,"8",350,160,4456,13.5,"72","US"
"79","Chrysler Newport Royal",13,"8",400,190,4422,12.5,"72","US"
"81","AMC Matador (sw)",15,"8",304,150,3892,12.5,"72","US"
"82","Chevrolet Chevelle Concours (sw)",13,"8",307,130,4098,14,"72","US"
"83","Ford Gran Torino (sw)",13,"8",302,140,4294,16,"72","US"
"84","Plymouth Satellite Custom (sw)",14,"8",318,150,4077,14,"72","US"
"85","Volvo 145e (sw)",18,"4",121,112,2933,14.5,"72","Europe"
"94","Buick Century 350",13,"8",350,175,4100,13,"73","US"
"95","AMC Matador",14,"8",304,150,3672,11.5,"73","US"
"96","Chevrolet Malibu",13,"8",350,145,3988,13,"73","US"
"97","Ford Gran Torino",14,"8",302,137,4042,14.5,"73","US"
"98","Dodge Coronet Custom",15,"8",318,150,3777,12.5,"73","US"
"99","Mercury Marquis Brougham",12,"8",429,198,4952,11.5,"73","US"
"100","Chevrolet Caprice Classic",13,"8",400,150,4464,12,"73","US"
"101","Ford LTD",13,"8",351,158,4363,13,"73","US"
"102","Plymouth Fury Gran Sedan",14,"8",318,150,4237,14.5,"73","US"
"103","Chrysler New Yorker Brougham",13,"8",440,215,4735,11,"73","US"
"104","Buick Electra 225 Custom",12,"8",455,225,4951,11,"73","US"
"105","AMC Ambassador Brougham",13,"8",360,175,3821,11,"73","US"
"106","Plymouth Valiant",18,"6",225,105,3121,16.5,"73","US"
"112","Chevrolet Impala",11,"8",400,150,4997,14,"73","US"
"113","Ford Country",12,"8",400,167,4906,12.5,"73","US"
"114","Plymouth Custom Suburb",13,"8",360,170,4654,13,"73","US"
"115","Oldsmobile Vista Cruiser",12,"8",350,180,4499,12.5,"73","US"
"122","Mercury Capri v6",21,"6",155,107,2472,14,"73","US"
"124","Chevrolet Monte Carlo S",15,"8",350,145,4082,13,"73","US"
"125","Pontiac Grand Prix",16,"8",400,230,4278,9.5,"73","US"
"129","Volvo 144ea",19,"4",121,112,2868,15.5,"73","Europe"
"130","Dodge Dart Custom",15,"8",318,150,3399,11,"73","US"
"131","Saab 99le",24,"4",121,110,2660,14,"73","Europe"
"132","Toyota Mark II",20,"6",156,122,2807,13.5,"73","Japan"
"133","Oldsmobile Omega",11,"8",350,180,3664,11,"73","US"
"143","AMC Matador",16,"6",258,110,3632,18,"74","US"
"144","Plymouth Satellite Sebring",18,"6",225,105,3613,16.5,"74","US"
"145","Ford Gran Torino",16,"8",302,140,4141,14,"74","US"
"146","Buick Century Luxus (sw)",13,"8",350,150,4699,14.5,"74","US"
"147","Dodge Coronet Custom (sw)",14,"8",318,150,4457,13.5,"74","US"
"148","Ford Gran Torino (sw)",14,"8",302,140,4638,16,"74","US"
"149","AMC Matador (sw)",14,"8",304,150,4257,15.5,"74","US"
"162","Chevrolet Nova",18,"6",250,105,3459,16,"75","US"
"165","Pontiac Catalina",16,"8",400,170,4668,11.5,"75","US"
"166","Chevrolet Bel Air",15,"8",350,145,4440,14,"75","US"
"167","Plymouth Grand Fury",16,"8",318,150,4498,14.5,"75","US"
"168","Ford LTD",14,"8",351,148,4657,13.5,"75","US"
"169","Buick Century",17,"6",231,110,3907,21,"75","US"
"170","Chevrolete Chevelle Malibu",16,"6",250,105,3897,18.5,"75","US"
"171","AMC Matador",15,"6",258,110,3730,19,"75","US"
"173","Buick Skyhawk",21,"6",231,110,3039,15,"75","US"
"174","Chevrolet Monza 2+2",20,"8",262,110,3221,13.5,"75","US"
"175","Ford Mustang II",13,"8",302,129,3169,12,"75","US"
"189","Saab 99LE",25,"4",121,115,2671,13.5,"75","Europe"
"196","Chevrolet Chevelle Malibu Classic",17.5,"8",305,140,4215,13,"76","US"
"197","Dodge Coronet Brougham",16,"8",318,150,4190,13,"76","US"
"198","AMC Matador",15.5,"8",304,120,3962,13.9,"76","US"
"199","Ford Gran Torino",14.5,"8",351,152,4215,12.8,"76","US"
"201","Chevrolet Nova",22,"6",250,105,3353,14.5,"76","US"
"210","Pontiac Ventura SJ",18.5,"6",250,110,3645,16.2,"76","US"
"216","Volvo 245",20,"4",130,102,3150,15.7,"76","Europe"
"217","Plymouth Volare Premier v8",13,"8",318,150,3940,13.2,"76","US"
"219","Toyota Mark II",19,"6",156,108,2930,15.5,"76","Japan"
"220","Mercedes-Benz 280s",16.5,"6",168,120,3820,16.7,"76","Europe"
"221","Cadillac Seville",16.5,"8",350,180,4380,12.1,"76","US"
"222","Chevrolet C10",13,"8",350,145,4055,12,"76","US"
"223","Ford F108",13,"8",302,130,3870,15,"76","US"
"224","Dodge D100",13,"8",318,150,3755,14,"76","US"
"230","Chevrolet Caprice Classic",17.5,"8",305,145,3880,12.5,"77","US"
"231","Oldsmobile Cutlass Supreme",17,"8",260,110,4060,19,"77","US"
"232","Dodge Monaco Brougham",15.5,"8",318,145,4140,13.7,"77","US"
"233","Mercury Cougar Brougham",15,"8",302,130,4295,14.9,"77","US"
"234","Chevrolet Concours",17.5,"6",250,110,3520,16.4,"77","US"
"235","Buick Skylark",20.5,"6",231,105,3425,16.9,"77","US"
"238","Pontiac Grand Prix LJ",16,"8",400,180,4220,11.1,"77","US"
"239","Chevrolet Monte Carlo Landau",15.5,"8",350,170,4165,11.4,"77","US"
"240","Chrysler Cordoba",15.5,"8",400,190,4325,12.2,"77","US"
"241","Ford Thunderbird",16,"8",351,149,4335,14.5,"77","US"
"251","BMW 320i",21.5,"4",121,110,2600,12.8,"77","Europe"
"252","Mazda RX-4",21.5,"3",80,110,2720,13.5,"77","Japan"
